name,value
c_p,4.502963e-12
c_m,2.473016e-11
a0_m,9454.904638564723
b0_m,0.01931411355853693
delta_m,5.955
s_m,34.77
a0_h,0.011838569582890868
b0_h,6305.549185817275
delta_h,20.27
s_h,6.285
a0_j,0.0001131528209559009
b0_j,313.1936394738773
delta_j,38.45
s_j,8.281
tau_j_const,0.002038
R,24946770.0
R_f,326421.4
g_max,439220.4
g_leak,0.4812443
tau_z,0.000100034
v_half_m,24.35802
v_half_h,59.69117
k_m,5.66677
k_h,5.507771
x_c_comp,0.09929933
x_r_comp,1.02
alpha,0.75
v_off,-2.0
v_rev,18.0
v_c,-80.0
tau_m_const,1e-05
tau_h_const,1e-05
